Datetime,AEP_MW
2004-10-01 00:00:00,14284.52174
2004-10-02 00:00:00,12999.875
2004-10-03 00:00:00,12227.08333
2004-10-04 00:00:00,14309.04167
2004-10-05 00:00:00,14439.70833
2004-10-06 00:00:00,14424.79167
2004-10-07 00:00:00,14449.41667
2004-10-08 00:00:00,14350.33333
2004-10-09 00:00:00,12934.54167
2004-10-10 00:00:00,12260.375
2004-10-11 00:00:00,14299.75
2004-10-12 00:00:00,14614.91667
2004-10-13 00:00:00,14454.41667
2004-10-14 00:00:00,14484
2004-10-15 00:00:00,14536.70833
2004-10-16 00:00:00,13602.70833
2004-10-17 00:00:00,13098.5
2004-10-18 00:00:00,15425.66667
2004-10-19 00:00:00,14807.29167
2004-10-20 00:00:00,14519.41667
2004-10-21 00:00:00,14377.75
2004-10-22 00:00:00,14311.125
2004-10-23 00:00:00,13254.95833
2004-10-24 00:00:00,12438.66667
2004-10-25 00:00:00,14476.625
2004-10-26 00:00:00,14653.79167
2004-10-27 00:00:00,14448.83333
2004-10-28 00:00:00,14327.66667
2004-10-29 00:00:00,14260.29167
2004-10-30 00:00:00,12924.29167
2004-10-31 00:00:00,12322.95652
2004-11-01 00:00:00,14322.08333
2004-11-02 00:00:00,14584.29167
2004-11-03 00:00:00,14649.54167
2004-11-04 00:00:00,15018.70833
2004-11-05 00:00:00,14933.875
2004-11-06 00:00:00,13901.08333
2004-11-07 00:00:00,12943.58333
2004-11-08 00:00:00,15143.70833
2004-11-09 00:00:00,16267.29167
2004-11-10 00:00:00,16043.29167
2004-11-11 00:00:00,15664.41667
2004-11-12 00:00:00,15562
2004-11-13 00:00:00,14462.25
2004-11-14 00:00:00,14411.25
2004-11-15 00:00:00,16104.45833
2004-11-16 00:00:00,15800.29167
2004-11-17 00:00:00,15380.33333
2004-11-18 00:00:00,15138.54167
2004-11-19 00:00:00,14723.125
2004-11-20 00:00:00,13348.625
2004-11-21 00:00:00,12979.58333
2004-11-22 00:00:00,14868.45833
2004-11-23 00:00:00,14876.20833
2004-11-24 00:00:00,14892.08333
2004-11-25 00:00:00,13275.91667
2004-11-26 00:00:00,14436.29167
2004-11-27 00:00:00,14117.54167
2004-11-28 00:00:00,14175.41667
2004-11-29 00:00:00,16535.16667
2004-11-30 00:00:00,16353.79167
2004-12-01 00:00:00,16164.25
2004-12-02 00:00:00,16954.29167
2004-12-03 00:00:00,16584.625
2004-12-04 00:00:00,15612.16667
2004-12-05 00:00:00,14528.29167
2004-12-06 00:00:00,16014.83333
2004-12-07 00:00:00,15438.08333
2004-12-08 00:00:00,15608.83333
2004-12-09 00:00:00,16475.375
2004-12-10 00:00:00,15687.625
2004-12-11 00:00:00,15440.95833
2004-12-12 00:00:00,15316.33333
2004-12-13 00:00:00,17658.83333
2004-12-14 00:00:00,18754.29167
2004-12-15 00:00:00,18730.25
2004-12-16 00:00:00,18448.54167
2004-12-17 00:00:00,17319.95833
2004-12-18 00:00:00,16628.41667
2004-12-19 00:00:00,17187.45833
2004-12-20 00:00:00,20864.70833
2004-12-21 00:00:00,18654.79167
2004-12-22 00:00:00,17396.54167
2004-12-23 00:00:00,16382.75
2004-12-24 00:00:00,16470.91667
2004-12-25 00:00:00,16374.58333
2004-12-26 00:00:00,16073.125
2004-12-27 00:00:00,18350.54167
2004-12-28 00:00:00,18116
2004-12-29 00:00:00,16280.95833
2004-12-30 00:00:00,15242.91667
2004-12-31 00:00:00,14108.08333
2005-01-01 00:00:00,12995.70833
2005-01-02 00:00:00,13446.33333
2005-01-03 00:00:00,15164.04167
2005-01-04 00:00:00,15583.45833
2005-01-05 00:00:00,16226.875
